代號,名稱,股數
2474,可成,77.04
2475,華映,647.9
2476,鉅祥,18.24
2477,美隆電,19.82
2478,大毅,19
2480,敦陽科,10.64
2481,強茂,36.98
2482,連宇,6.207
2483,百容,11.06
2484,希華,15.94
2485,兆赫,31.77
2486,一詮,20.53
2488,漢平,8
2489,瑞軒,83.44
2491,吉祥全,7.701
2492,華新科,48.58
2493,揚博,11.44
2495,普安,27.97
2496,卓越,1.655
2497,怡利電,11.88
2498,宏達電,82.08
2499,東貝,37.35
2501,國建,116
2504,國產,138.5
2505,國揚,57.66
2506,太設,38.7
2509,全坤建,15.18
2511,太子,162.3
2514,龍邦,49.36
2515,中工,153.1
2516,新建,22.63
2520,冠德,50.38
2524,京城,38.43
2527,宏璟,27.03
2528,皇普,13.71
2530,華建,27.08
2534,宏盛,61.75
2535,達欣工,23.18
2536,宏普,33.28
2537,聯上發,30.06
2538,基泰,43.84
2539,櫻花建,37.8
2540,愛山林,14.66
2542,興富發,116.7
2543,皇昌,24.2
2545,皇翔,32.77
2546,根基,10.6
2547,日勝生,89.44
2548,華固,27.68
2596,綠意,9.738
2597,潤弘,13.5
2601,益航,63.09
2603,長榮,401.2
2605,新興,56.83
2606,裕民,84.51
2607,榮運,106.7
2608,大榮,46.7
2609,陽明,232.3
2610,華航,547.1
2611,志信,17.8
2612,中航,19.75
2613,中櫃,12.34
2614,東森,69.6
2615,萬海,221.8
2616,山隆,13.38
2617,台航,41.73
2618,長榮航,417.3
2633,台灣高鐵,562.8
2634,漢翔,94.19
2636,台驊,11.86
2637,F-慧洋,61.67
2640,大車隊,4.876
2641,正德,18.5
2642,宅配通,9.547
2643,捷迅,2.623
2701,萬企,43.88
2702,華園,10.23
2704,國賓,36.69
2705,六福,33.92
2706,第一店,48.65
2707,晶華,12.67
2712,遠雄來,10.5
2718,晶悅,2.258
2719,燦星旅,3.629
2722,夏都,10.72
2723,F-美食,16.3
2724,F-富驛,6.817
2726,F-雅茗,3.349
2727,王品,7.699
2729,瓦城,2.327
2731,雄獅,7
2732,六角,3.475
2734,易飛網,3.026
2736,高野,4.899
2739,寒舍,11.15
2740,天蔥,1.598
2748,雲品,6.564
2801,彰銀,941.3
2809,京城銀,115.1
2812,台中銀,329.3
2816,旺旺保,21.3
2820,華票,134.3
2823,中壽,378.6
2832,台產,36.22
2834,臺企銀,614.8
2836,高雄銀,100.3
2838,聯邦銀,280.5
2841,台開,76.09
2845,遠東銀,318.3
2847,大眾銀,363.7
2849,安泰銀,195.8
2850,新產,31.6
2851,中再保,56.23
2852,第一保,30.12
2855,統一證,139
2856,元富證,160
2867,三商壽,192
2880,華南金,1105
2881,富邦金,1083
2882,國泰金,1340
2883,開發金,1498
2884,玉山金,1019
2885,元大金,1199
2886,兆豐金,1360
2887,台新金,1077
2888,新光金,1023
2889,國票金,278.7
2890,永豐金,1106
2891,中信金,1983
2892,第一金,1222
2897,王道銀行,241.3
2901,欣欣,7.304
2903,遠百,141.7
2904,匯僑,6.903
2905,三商,76.55
2906,高林,20.91
2908,特力,50.99
2910,統領,20.87
2911,麗嬰房,20.43
2912,統一超,104
2913,農林,77
2915,潤泰全,94.14
2916,滿心,5.463
2923,F-鼎固,174
2924,F-東凌,3.401
2926,誠品生,4.739
2928, F-紅馬,4.73
2929,F-淘帝,7.871
2936,客思達KY,7.656
2937,集雅社,3.286
2939,凱羿-KY,5.002
3002,歐格,10.2
3003,健和興,15.57
3004,豐達科,5.265
3005,神基,57.16
3006,晶豪科,28.58
3008,大立光,13.41
3010,華立,23.14
3011,今皓,11.27
3013,晟銘電,16.99
3014,聯陽,16.14
3015,全漢,19.23
3016,嘉晶,27.44
3017,奇鋐,35.33
3018,同開,6.591
3019,亞光,28.11
3021,鴻名,9.581
3022,威強電,32.83
3023,信邦,22.54
3024,憶聲,27.72
3025,星通,7.092
3026,禾伸堂,15.8
3027,盛達,9.91
3028,增你強,21.38
3029,零壹,12.24
3030,德律,23.62
3031,佰鴻,18.67
3032,偉訓,11.33
3033,威健,32.3
3034,聯詠,60.85
3035,智原,24.86
3036,文曄,55.22
3037,欣興,152.9
3038,全台,18.34
3040,遠見,6.3
3041,揚智,30.26
3042,晶技,30.98
3043,科風,19.49
3044,健鼎,52.56
3045,台灣大,342.1
3046,建碁,7.145
3047,訊舟,20.04
3048,益登,22.26
3049,和鑫,73.69
3050,鈺德,14.6
3051,力特,32.53
3052,夆典,23.3
3054,立萬利,12.11
3055,蔚華科,10.35
3056,總太,23.05
3057,喬鼎,16.14
3058,立德,17.05
3059,華晶科,27.38
3060,銘異,13.94
3062,建漢,32.88
3064,泰偉,7.211
3066,李洲,8.307
3067,全域,2.903
3068,美磊,9.347
3071,協禧,12
3073,普格,4.646
3078,僑威,22.74
3081,聯亞,9.057
3083,網龍,8.57
3085,久大,11.81
3086,華義,6.117
3088,艾訊,7.931
3089,遠昇,4.011
3090,日電貿,16.7
3092,鴻碩,6.98
3093,港建,3.629
3094,聯傑,8.466
3095,及成,10.93
3105,穩懋,42.27
3114,好德,5.001
3115,寶島極,4.37
3118,進階,3.245
3122,笙泉,3.93
3126,信億科技,4.875
3128,昇銳,4.2
3130,一零四,3.321
3131,弘塑,2.468
3141,晶宏,6.349
3144,新揚科,10.06
3147,大綜,3.4
3149,正達,18.84
3152,璟德,6.902
